authors,average_rating,language_code,# num_pages,ratings_count,text_reviews_count
Siegfried Engelmann-Phyllis Haddox-Elaine Bruner,4.15,en-US,395.0,2083.0,269.0
Sherrilyn Kenyon-Jaid Black-Kresley Cole,4.14,eng,352.0,12407.0,337.0
Renee Baron-Elizabeth Wagele,3.83,eng,161.0,1638.0,141.0
Crissy Trask-Mike Clelland,3.53,eng,168.0,326.0,49.0
Dallas Willard,4.22,en-US,384.0,47.0,2.0
Karen Kingsbury,4.28,eng,355.0,8815.0,414.0
Julie Otsuka,3.73,en-US,160.0,174.0,29.0
David Noonan,3.63,eng,191.0,788.0,7.0
Mary K. Baxter-T.L. Lowery,4.18,eng,208.0,1123.0,147.0
Roald Dahl-Quentin Blake,4.3,eng,233.0,1721.0,129.0
Roald Dahl-Artists and Writers Guild-Walt Disney Company-Leonard Maltin,3.45,en-US,56.0,487.0,62.0
Roald Dahl,3.9,eng,208.0,7833.0,598.0
Roald Dahl,4.06,eng,224.0,5245.0,291.0
Maxine Nodel-Norman Nodel,4.33,eng,27.0,9.0,1.0
Maurice Sendak-Agustín Gervás,4.22,spa,40.0,94.0,11.0
Douglas Clegg,3.54,eng,97.0,64.0,8.0
Dan Brown-Annamaria Biavasco,3.88,ita,562.0,492.0,12.0
Christopher Golden,4.01,eng,311.0,7.0,533.6321277526615
David Foster Wallace,4.07,eng,329.0,10211.0,675.0
Hope S. Warshaw-Warshaw Hope,3.41,eng,301.0,32.0,4.0
R. de Roussy de Sales,3.84,eng,228.0,292.0,33.0
Douglas Downing,4.06,eng,392.0,21.0,2.0
Peter Biskind,4.11,eng,512.0,5004.0,327.0
David Mitchell,4.02,eng,529.0,6763.0,934.0
Liam Callanan,3.37,en-GB,368.0,1697.0,251.0
John A. McDougall-Mary McDougall,3.98,eng,336.0,294.0,20.0
David A. Stewart-Jessalyn Little-Elizabeth     Stewart,3.72,eng,480.0,33.0,5.0
William Shakespeare-Alan Durband,3.74,eng,288.0,180.0,5.0
John Sandford,4.08,eng,480.0,11213.0,325.0
Jean Sasson,4.0,eng,368.0,4071.0,290.0
Janet Evanovich,3.67,eng,234.0,11746.0,376.0
Janet Evanovich,3.69,eng,219.0,11854.0,434.0
Andrew Bender-Lonely Planet,3.87,eng,298.0,16.0,1.0
Fodor's Travel Publications Inc.-Sarah Gold,3.5,eng,288.0,7.0,533.6321277526615
Ian McEwan,3.58,eng,263.0,7865.0,529.0
Ian McEwan,3.44,eng,149.0,7557.0,472.0
Ian McEwan,3.42,eng,128.0,10331.0,804.0
Barbara Bretton-Emilie Rose-Isabel Sharpe,3.57,eng,279.0,7.0,1.0
Henri Charrière-Patrick O'Brian,3.73,eng,406.0,2148.0,71.0
Henri Charrière,4.24,fre,522.0,33.0,5.0
Plum Sykes,3.28,spa,304.0,4.0,533.6321277526615
Mitch Albom,4.09,en-US,192.0,5485.0,507.0
Mitch Albom,4.09,fre,209.0,3.0,1.0
Mavis Applewater,3.86,eng,252.0,85.0,2.0
Nora Kelly,3.7,eng,228.0,22.0,2.0
Estelle B. Freedman,4.23,eng,272.0,21.0,2.0
Jean Marzollo-Nancy Sheehan,3.75,eng,32.0,4.0,533.6321277526615
Kurt Vonnegut-David Strathairn-Maria Tucci-Bill Irwin-Tony    Roberts-Dylan Baker,4.14,en-US,9.0,60.0,11.0
Kurt Vonnegut,4.14,en-GB,285.0,65.0,8.0
Richard Nelson Bolles,3.69,eng,382.0,4018.0,155.0
Michael Neill,4.16,en-US,240.0,21.0,1.0
Laura Esquivel-Thomas Christensen-Carol Christensen,3.94,eng,242.0,1418.0,182.0
Laura Esquivel-Yareli Arizmendi,3.94,eng,342.4027271401487,115.0,30.0
Laura Esquivel,3.94,spa,248.0,11.0,2.0
Gordon S. Wood,4.05,eng,447.0,4064.0,186.0
Emma Holly,3.99,en-US,294.0,1323.0,57.0
Esther Schor,3.9,eng,368.0,27.0,6.0
Emma Holly,3.67,en-US,312.0,1217.0,66.0
Sue Monk Kidd,3.96,en-US,253.0,560.0,69.0
Sue Monk Kidd,4.17,eng,240.0,2141.0,222.0
Henri J.M. Nouwen-Sue Monk Kidd,4.29,en-US,125.0,721.0,74.0
Bryan Sykes,3.85,eng,320.0,970.0,165.0
Wanda Sykes,3.7,en-US,247.0,440.0,65.0
Bryan Sykes,3.98,eng,368.0,142.0,15.0
Charles J. Sykes,3.71,eng,352.0,166.0,28.0
Eric Sykes,3.86,eng,512.0,23.0,2.0
William Shakespeare,4.01,eng,352.0,8.0,2.0
CliffsNotes-Michael McMahon,3.86,eng,192.0,36.0,3.0
William Shakespeare,3.94,eng,162.0,2151.0,95.0
William Shakespeare-Amanda Root-Arkangel Cast-Roy Hudd-David Harewood,3.94,eng,3.0,59.0,6.0
William Shakespeare-Roma Gill-B. Litt,3.94,eng,102.0,112.0,6.0
William Shakespeare-Stanley Appelbaum-Shane Weller,3.94,eng,66.0,568.0,46.0
William Shakespeare-Roma Gill,3.94,eng,99.0,14.0,3.0
William Shakespeare-Louis B. Wright-Virginia A. LaMar,3.98,eng,99.0,29.0,2.0
Kathryn Lasky-Richard Cowdrey,4.08,eng,224.0,8906.0,154.0
Kathryn Lasky,4.1,eng,203.0,8964.0,189.0
Alexander McCall Smith,4.07,eng,256.0,1023.0,72.0
Alexander McCall Smith-Lisette Lecat,4.07,eng,10.0,127.0,24.0
Alexander McCall Smith,4.02,eng,198.0,459.0,25.0
Murasaki Shikibu-Royall  Tyler,3.71,eng,319.0,148.0,26.0
Yoshitaka Amano-Murasaki Shikibu-Rachel Nacth-Anri Itō-Junichi Imura,4.06,eng,81.0,462.0,35.0
Murasaki Shikibu-Masayuki Miyata-Jakuchō Seitouchi-Donald Keene-H. Mack Horton-Ayako Watanabe-Michiko Hiraoka,3.76,eng,238.0,46.0,6.0
Alexander McCall Smith,4.06,eng,227.0,365.0,35.0
Alexander McCall Smith,3.96,ger,238.0,11.0,3.0
Alexander McCall Smith,3.98,ger,240.0,2.0,2.0
Alexander McCall Smith,3.98,eng,225.0,1337.0,108.0
Adam Gopnik,3.76,eng,368.0,12094.0,924.0
Émile Zola-Ernest Alfred Vizetelly-Henry Vizetelly,3.9,eng,397.0,8.0,1.0
John Irving,3.33,eng,222.0,1098.0,60.0
John Irving,3.82,eng,718.0,296.0,7.0
Richard A. Hawley-John Irving,4.0,eng,240.0,11.0,4.0
Philip K. Dick,4.08,eng,210.0,1823.0,138.0
Philip K. Dick,4.08,eng,216.0,46.0,5.0
Terrance Dicks-David  Mann,3.41,eng,126.0,280.0,23.0
K.A. Applegate-Katherine Applegate,3.76,eng,170.0,3701.0,105.0
Tracy Kidder,4.11,eng,293.0,5038.0,408.0
Peter Cozzens,4.18,eng,282.0,254.0,17.0
Bruce Catton-E.B. Long,4.33,eng,558.0,1485.0,31.0
Bruce Catton-E.B. Long,4.29,eng,568.0,2055.0,73.0
Bruce Catton,4.35,eng,558.0,1382.0,31.0
John Dos Passos,3.82,eng,326.0,5052.0,299.0
John Dos Passos-E.L. Doctorow,4.04,en-US,464.0,2003.0,119.0
John Dos Passos-E.L. Doctorow,4.0,en-US,400.0,2063.0,125.0
John Dos Passos,3.59,eng,362.0,669.0,62.0
Adam Gopnik-Omar Rayyan,3.62,en-US,410.0,782.0,104.0
Fyodor Dostoyevsky-Constance Garnett-Charles Guignon,4.35,eng,160.0,196.0,13.0
Alexandre Dumas-Brantley Johnson-Margaret Brantley,4.24,eng,620.0,186.0,25.0
Fyodor Dostoyevsky-Constance Garnett,4.2,eng,434.0,872.0,61.0
Fyodor Dostoyevsky-Leonard Stanton-James D. Hardy Jr.-Sidney Monas-Robin Feuer Miller,4.2,en-US,560.0,1968.0,177.0
Lawrence M. Friedman,3.89,eng,590.0,108.0,4.0
Elliott Currie,3.82,eng,240.0,65.0,10.0
James Lamar Roberts-Fyodor Dostoyevsky-CliffsNotes,3.76,eng,128.0,28.0,533.6321277526615
Fyodor Dostoyevsky-George Gibian-Jessie Coulson,4.2,eng,690.0,31.0,4.0
Katherine Beckett-Theodore Sasson,3.76,eng,272.0,32.0,2.0
Naguib Mahfouz-Naguib Mahfouz-María Rosa de Madariaga,3.75,spa,213.0,6.0,533.6321277526615
Naguib Mahfouz,4.07,eng,412.0,348.0,39.0
Alexandre Dumas-Robin Buss,3.8,eng,246.0,9710.0,554.0
Alexandre Dumas-Robin Buss,3.95,eng,546.0,288.0,24.0
Alexandre Dumas-Julie Rose-Lorenzo Carcaterra,3.89,eng,448.0,1131.0,69.0
Frances Mayes,3.75,en-US,291.0,1010.0,166.0
Sue Monk Kidd,4.04,eng,302.0,1273.0,171.0
Henri J.M. Nouwen,4.27,eng,100.0,7358.0,283.0
Henri J.M. Nouwen-Michael    Ford,4.22,eng,219.0,117.0,11.0
Dean Koontz-Kevin J. Anderson,4.02,eng,469.0,246.0,34.0
Kate Sedley,4.04,en-GB,252.0,97.0,10.0
Barbara Kingsolver,4.05,eng,616.0,1325.0,184.0
Jenna Jameson-Neil Strauss,3.75,eng,592.0,10211.0,802.0
Matthew Scully,4.16,eng,448.0,1131.0,131.0
Charlie Huston,3.99,eng,251.0,4599.0,201.0
Randy Alcorn,4.22,eng,603.0,4075.0,99.0
Pamela Duncan Edwards-Troy Howell,3.75,eng,40.0,19.0,4.0
Masamune Shirow,3.73,eng,225.0,289.0,8.0
Richard B. Primack,3.89,eng,585.0,36.0,1.0
Elliott A. Norse-Larry B. Crowder-Michael E. Soulé,4.67,eng,496.0,14.0,2.0
David W. Macdonald-Alonzo C. Addison-Sandra Baker-Mark S. Boyce-David Brown-Stephen Cobb-N. Mark Collins-C. Patrick Doncaster-John E. Fa-Joshua Ginsberg-Susanna B. Hecht-Katrina Service-Steve Albon-Les Firbank-Eli Geffen-Lise Albrechtsen-Elizabeth J. Asteraki-Christian Bonacic-Marcel Cardillo-Chris R. Dickman-Stephen A. Ellwood-H. Resit Akcakaya-Ruth E. Feber,3.33,en-GB,307.0,3.0,533.6321277526615
Jim Dutcher-Eric Baker-Greg Simpson-Richard Ballantine,4.57,eng,191.0,35.0,2.0
Rosita Arvigo-Nadine Epstein,4.12,eng,221.0,65.0,7.0
Zolar,3.67,en-US,480.0,71.0,4.0
Pamela J. Ball,3.72,eng,390.0,33.0,533.6321277526615
J.R.R. Tolkien-Christopher Tolkien-Ted Nasmith,3.91,eng,368.0,237.0,24.0
J.R.R. Tolkien-Baillie Tolkien,4.23,eng,111.0,6208.0,633.0
Humphrey Carpenter,4.06,eng,304.0,8606.0,281.0
J.R.R. Tolkien-Peter S. Beagle,3.99,eng,272.0,4092.0,141.0
Janet Brennan Croft-Mark P. Shea-Amy H. Sturgis,3.77,eng,323.0,39.0,2.0
J.R.R. Tolkien-Christopher Tolkien,3.93,eng,240.0,3375.0,70.0
Brian Sibley-John  Howe-J.R.R. Tolkien,4.13,eng,80.0,7585.0,28.0
Ralph C. Wood,4.07,eng,169.0,538.0,63.0
J.R.R. Tolkien-Christopher Tolkien,4.16,eng,465.0,93.0,4.0
John Garth,3.7,en-US,398.0,6167.0,96.0
Colin Duriez,4.0,eng,244.0,1320.0,50.0
J.R.R. Tolkien-Christopher Tolkien,3.83,eng,367.0,10413.0,191.0
J.R.R. Tolkien,4.09,eng,176.0,2245.0,95.0
Brian Sibley-Ian McKellen,4.46,eng,192.0,7624.0,32.0
Lin Carter,3.75,eng,211.0,13.0,533.6321277526615
J.R.R. Tolkien-Rob Inglis,4.49,eng,56.0,139.0,15.0
John Berendt,3.91,eng,388.0,980.0,84.0
Philippa Pearce,4.06,eng,238.0,148.0,10.0
Philippa Pearce,4.06,eng,234.0,104.0,14.0
Temple Grandin-Catherine  Johnson,4.13,eng,356.0,100.0,20.0
J.R. Hyland,4.0,eng,128.0,15.0,4.0
Harlow Giles Unger,4.38,eng,452.0,524.0,78.0
George Adamson,4.28,en-US,304.0,122.0,11.0
D.W. Meinig,4.15,eng,636.0,25.0,2.0
Mikhail Bakunin-Robert M. Cutler,3.75,eng,248.0,96.0,3.0
Juan Bonilla-Esther Allen,3.56,en-US,258.0,61.0,10.0
Jacqueline Winspear,3.92,en-GB,292.0,157.0,18.0
Jacqueline Winspear,4.25,en-US,623.0,1294.0,58.0
William S. Burroughs-J.G. Ballard,3.44,eng,201.0,588.0,48.0
William S. Burroughs,3.44,eng,289.0,478.0,62.0
Jeannette Walls,4.26,eng,352.0,182.0,40.0
Jeannette Walls,4.26,eng,288.0,517.0,84.0
Lauren  Levin-Lauren Blitzer-Sam Bassett,3.58,en-US,250.0,385.0,36.0
Amy Sohn-Sarah Jessica Parker,4.0,en-US,160.0,87.0,7.0
Sebastian Faulks,3.63,en-US,563.0,38.0,12.0
Rosalind Wiseman-Lee Adams,3.79,eng,8.0,1.0,533.6321277526615
Daniel Jonah Goldhagen,3.68,en-GB,634.0,80.0,6.0
Daniel Jonah Goldhagen,3.68,ger,728.0,4.0,533.6321277526615
Luanne Rice,4.06,en-US,448.0,8026.0,229.0
Mary Alice Monroe,4.2,eng,496.0,9733.0,943.0
James Patterson-Peter de Jonge,3.84,eng,358.0,685.0,58.0
Patricia D. Netzley,3.6,eng,112.0,5.0,1.0
Laurie Notaro,3.97,en-US,228.0,9555.0,591.0
Laurie Notaro,3.98,en-US,257.0,7872.0,451.0
Laurie Notaro,3.85,en-US,142.0,4087.0,269.0
Laurie Notaro,3.92,eng,223.0,9920.0,439.0
Laurie Notaro,3.55,eng,320.0,36.0,8.0
Laurie Notaro,3.88,ger,254.0,2.0,1.0
Denis Waitley,4.2,eng,176.0,1229.0,55.0
Cesar Millan-Melissa Jo Peltier,3.74,eng,270.0,6878.0,943.0
Chris Ware,4.09,spa,380.0,12.0,1.0
Chris Ware,4.09,fre,380.0,31.0,1.0
Chris Ware,4.35,eng,64.0,763.0,22.0
Chris Ware,4.34,en-US,108.0,2510.0,72.0
Chris Ware,4.17,eng,208.0,494.0,22.0
Chris Ware,4.09,en-US,69.0,1396.0,32.0
Voltaire-Chris Ware-Theo Cuffe-Michael  Wood,3.76,eng,155.0,1871.0,188.0
Tom Robbins,3.75,eng,416.0,381.0,52.0
Gus Van Sant-Tom Robbins,3.79,eng,199.0,94.0,2.0
Lama Surya Das,4.2,en-US,432.0,11465.0,282.0
Shirin Ebadi,4.13,eng,232.0,3004.0,253.0
Mark Nepo,4.32,eng,438.0,4799.0,272.0
Mona Lisa Schulz-Christiane Northrup,3.92,eng,397.0,304.0,31.0
Charles R. Swindoll,4.33,eng,306.0,1987.0,58.0
Frank Wedekind-Eric Bentley,3.81,eng,126.0,3235.0,134.0
Kathleen A. Brehony,3.99,en-US,384.0,62.0,8.0
James Joyce-Walter Hettche-Hans Walter Gabler-John Paul Riquelme-John Mitchel-Michael Davitt-Canon  Doyle-Pádraic Pearse-Ignatius of Loyola-Giovanni Pietro Pinamont-Walter Pater-Oscar Wilde-Douglas Hyde-Kenneth Burke-Umberto Eco-Hugh Kenner-Hélène Cixous-Karen Lawrence-Maud Ellmann-Bonnie Kime Scott-Joseph Valente-Marian Eide-Pericles Lewis-Jonathan Mulrooney-J.M. Synge,3.61,eng,520.0,347.0,37.0
James Joyce-Jim Norton,3.61,eng,368.0,26.0,8.0
James Joyce-Langdon Hammer,3.61,eng,256.0,417.0,47.0
Jan Greenberg-Sandra Jordan,3.95,eng,144.0,209.0,35.0
Gabriel García Márquez-Brenda K. Marshall-F. Murray Abraham,4.11,eng,342.4027271401487,75.0,2.0
Gabriel García Márquez-Gregory Rabassa,4.06,eng,448.0,1510.0,201.0
Gabriel García Márquez,4.06,eng,416.0,362.0,49.0
Gabriel García Márquez-Gregory Rabassa,4.06,eng,422.0,954.0,112.0
Vladimir Nabokov,3.89,en-US,335.0,795.0,63.0
Vladimir Nabokov-Alfred Appel,3.89,eng,457.0,2919.0,363.0
Vladimir Nabokov,3.89,eng,307.0,1884.0,171.0
Vladimir Nabokov-Jeremy Irons,3.89,eng,12.0,771.0,232.0
Pam Muñoz Ryan-Claudia Rueda,3.96,eng,40.0,32.0,4.0
Azar Nafisi,3.6,eng,343.0,313.0,57.0
Lolita Files,3.79,eng,368.0,206.0,27.0
John Steinbeck,3.86,eng,118.0,4246.0,309.0
Phoebe Dunn,3.77,eng,28.0,31.0,4.0
Madeleine L'Engle-Peter Sís,4.35,eng,750.0,10728.0,168.0
William Golding-Mark Kinkead-Weekes-Ian Gregor,3.67,eng,288.0,1491.0,132.0
Jaroslav Hašek-Zenny K. Sadlon,4.11,eng,260.0,21.0,1.0
Jaroslav Hašek,4.11,eng,752.0,84.0,9.0
Ford Madox Ford-Frank Kermode,3.72,eng,256.0,254.0,33.0
Ray Bradbury,3.98,eng,186.0,5733.0,613.0
Michael Crichton,4.06,eng,688.0,991.0,30.0
Michael Crichton,3.99,eng,720.0,943.0,27.0
Michael Crichton,3.95,eng,400.0,6812.0,493.0
Michael Crichton-Stephen Lang-Anthony Heald-Blair Brown,4.16,en-GB,342.4027271401487,263.0,7.0
Michael Crichton,3.48,eng,204.0,4717.0,92.0
Michael Crichton-Anne-Marie Martin,3.63,eng,182.0,17.0,1.0
Robert Crichton,4.13,eng,416.0,553.0,60.0
J.M. Barrie-Peter Hollindale,3.99,eng,384.0,332.0,20.0
David H. Maister,4.11,en-US,376.0,50.0,2.0
Kenneth C. Laudon-Jane P. Laudon,3.54,en-US,736.0,219.0,18.0
Annie Dillard,4.22,eng,76.0,3562.0,317.0
Elaine Sciolino,3.82,eng,418.0,528.0,52.0
George Bernard Shaw-Sandie Byrne,3.94,eng,551.0,120.0,6.0
George Bernard Shaw-Stanley Weintraub,4.0,eng,698.0,39.0,2.0
George Bernard Shaw,3.55,eng,479.0,10.0,5.0
George Bernard Shaw-Dan H. Laurence-W.J. McCormack,3.92,eng,336.0,255.0,9.0
Peter Kuper-Franz Kafka-Kerstin Hasenpusch,3.77,eng,80.0,144.0,21.0
Franz Kafka-Peter Kuper-Kerstin Hasenpusch,3.77,eng,80.0,3015.0,288.0
Franz Kafka-Stanley Corngold,3.8,eng,232.0,645.0,50.0
Franz Kafka-Stanley Appelbaum,4.03,eng,88.0,2404.0,122.0
Jean Anouilh,3.81,fre,122.0,109.0,12.0
Judith Butler,3.76,en-US,118.0,406.0,20.0
Jonathan Swift-Claude Julien Rawson-Ian Higgins,3.56,eng,422.0,253.0,20.0
Jonathan Swift-David Case,3.56,eng,342.4027271401487,4.0,1.0
Gill Harvey-Jonathan Swift,3.34,eng,64.0,13.0,3.0
Martin Woodside-Jamel Akib-Arthur Pober-Jonathan Swift,3.93,eng,160.0,724.0,23.0
Jonathan Swift-Robert Hardy,3.56,eng,3.0,8.0,533.6321277526615
Hunter S. Thompson-Ralph Steadman,4.21,eng,283.0,1689.0,81.0
Hunter S. Thompson-Ralph Steadman,4.08,eng,230.0,3204.0,235.0
Hunter S. Thompson-Ralph Steadman,4.08,eng,208.0,258.0,27.0
Hunter S. Thompson-Ralph Steadman,4.08,eng,208.0,374.0,37.0
James Lamar Roberts-Jeffrey Fisher,3.67,eng,72.0,3.0,533.6321277526615
Clare West-Amy Tan,4.3,eng,120.0,1221.0,7.0
Dr. Seuss,4.17,eng,58.0,8683.0,337.0
Dr. Seuss,4.12,eng,64.0,4130.0,250.0
Dr. Seuss,4.07,eng,64.0,4403.0,242.0
Dr. Seuss,4.16,eng,61.0,290.0,4.0
Dr. Seuss,4.01,eng,36.0,5726.0,157.0
Dr. Seuss-Yanitzia Canetti,4.17,spa,64.0,26.0,4.0
Dr. Seuss,3.86,eng,56.0,3128.0,130.0
Richard H. Minear-Art Spiegelman-Dr. Seuss,4.18,eng,272.0,1225.0,94.0
Dr. Seuss,4.08,eng,64.0,7.0,533.6321277526615
Dr. Seuss-Jennifer Morrish Tunberg-Terence Tunberg-Terence O. Tunberg-Guenevera Tunberg-Terentio Tunberg,4.16,lat,75.0,62.0,10.0
Julia Butterfly Hill,3.94,eng,262.0,1774.0,219.0
Brian Boyd,4.22,eng,320.0,169.0,24.0
T. Coraghessan Boyle,3.67,eng,275.0,29.0,2.0
Joan Didion,4.22,eng,207.0,136.0,21.0
Joan Didion,4.17,eng,224.0,91.0,8.0
Elizabeth Hardwick-Joan Didion,4.06,eng,224.0,246.0,23.0
Joan Didion,4.22,eng,256.0,173.0,21.0
Joan Didion,3.82,eng,320.0,1145.0,92.0
Jim Toomey,4.34,eng,130.0,65.0,1.0
Scott Adams,3.99,eng,128.0,396.0,10.0
Herman Melville,3.49,eng,536.0,672.0,76.0
Herman Melville-Nathaniel Philbrick,3.49,en-US,625.0,999.0,167.0
Herman Melville-Harrison Hayford-Hershel Parker,3.49,en-US,573.0,98.0,17.0
Aimee Bender,3.88,eng,192.0,6441.0,660.0
Mike  Davis,3.91,eng,228.0,1652.0,171.0
Mike  Davis,4.1,eng,464.0,970.0,97.0
Justin Akers Chacón-Mike  Davis,4.07,eng,240.0,226.0,21.0
Steve Erickson,3.99,eng,249.0,25.0,3.0
Steve Erickson,3.99,eng,256.0,675.0,44.0
Rumer Godden-Jean Primrose,4.22,eng,144.0,10.0,1.0
Laura Ingalls Wilder-Garth Williams,4.2,en-US,339.0,187.0,16.0
Maud Hart Lovelace-Vera Neville,4.31,en-US,260.0,4054.0,146.0
Maud Hart Lovelace-Vera Neville,4.13,eng,321.0,4689.0,143.0
Maud Hart Lovelace-Lois Lenski,4.17,en-US,192.0,7661.0,179.0
Julie A. Schrader,4.29,en-US,325.0,58.0,7.0
Maud Hart Lovelace-Rhoda R. Gilman,3.66,eng,342.0,173.0,29.0
Maud Hart Lovelace-Vera Neville,4.31,eng,336.0,4411.0,111.0
Maud Hart Lovelace-Lois Lenski,4.55,en-US,592.0,444.0,52.0
Amy Dolnick,3.9,eng,63.0,32.0,3.0
Maud Hart Lovelace-Vera Neville,4.17,en-US,320.0,4744.0,118.0
Maud Hart Lovelace-Lois Lenski,4.21,eng,180.0,67.0,6.0
Maud Hart Lovelace-Vera Neville,4.23,eng,304.0,2637.0,138.0
Maud Hart Lovelace-Vera Neville,4.29,eng,368.0,5224.0,194.0
Margaret Sidney-Barbara Cooney,3.91,eng,320.0,236.0,7.0
Sydney Taylor,4.28,eng,160.0,5581.0,61.0
Carol Ryrie Brink,4.04,eng,154.0,116.0,39.0
Carol Ryrie Brink,4.15,eng,178.0,159.0,31.0
Carolyn Haywood,4.05,eng,157.0,339.0,20.0
Carolyn Haywood,4.0,eng,192.0,38.0,3.0
Carolyn Haywood,4.08,eng,192.0,39.0,2.0
Orson Scott Card,3.43,en-US,352.0,8417.0,746.0
Orson Scott Card,3.9,eng,288.0,6095.0,333.0
Orson Scott Card,3.83,eng,212.0,10140.0,485.0
Orson Scott Card,3.85,en-GB,368.0,5545.0,506.0
Orson Scott Card,3.9,eng,140.0,463.0,66.0
Orson Scott Card,3.53,eng,608.0,2391.0,263.0
Orson Scott Card,3.7,en-US,336.0,10862.0,164.0
Orson Scott Card,3.39,eng,430.0,2660.0,165.0
Orson Scott Card,3.84,eng,416.0,7394.0,615.0
Orson Scott Card,3.58,eng,352.0,10051.0,164.0
Orson Scott Card-David Birney-Scott Brick-Gabrielle de Cuir-Scott Sowers,3.94,eng,13.0,107.0,18.0
Brian Jacques-David Elliot,4.13,en-US,356.0,2233.0,67.0
Brian Jacques-David Elliot,4.12,en-US,341.0,129.0,13.0
Brian Jacques-Ian Schoenherr,3.99,eng,356.0,7648.0,249.0
Brian Jacques-Allan Curless,3.98,eng,389.0,10527.0,115.0
Brian Jacques-Christopher Denise,4.13,en-US,72.0,2321.0,41.0
Roger Hargreaves,3.94,eng,32.0,587.0,27.0
Roger Hargreaves-Adam Hargreaves,3.64,eng,40.0,191.0,17.0
Roger Hargreaves,4.03,eng,32.0,1630.0,70.0
Roger Hargreaves-Adam Hargreaves,3.89,eng,34.0,224.0,12.0
Roger Hargreaves-Adam Hargreaves,4.0,eng,32.0,188.0,11.0
Roger Hargreaves-Adam Hargreaves,3.73,eng,32.0,175.0,13.0
Roger Hargreaves-Adam Hargreaves,3.82,eng,32.0,86.0,11.0
Roger Hargreaves-Gray Jolliffe,4.12,eng,32.0,6.0,533.6321277526615
Roger Hargreaves-Gray Jolliffe,4.67,eng,32.0,2.0,533.6321277526615
Roger Hargreaves-Gray Jolliffe,4.5,eng,32.0,3.0,533.6321277526615
Roger Hargreaves-Gray Jolliffe,4.33,eng,32.0,3.0,533.6321277526615
Roger Hargreaves,3.75,fre,36.0,1.0,533.6321277526615
Margery Clark-Maud Petersham-Miska Petersham,4.4,eng,158.0,55.0,9.0
Judi Barrett-Ron Barrett-Linda Terheyden-Jerry Terheyden,4.16,eng,1.0,8.0,1.0
Judi Barrett-Ron Barrett-Linda Terheyden-Jerry Terheyden,4.16,en-US,1.0,2.0,533.6321277526615
Judi Barrett-Ron Barrett,3.7,eng,32.0,28.0,1.0
Judi Barrett-Diane Dawson Hearn,3.8,eng,32.0,4.0,1.0
Robin McKinley,4.05,eng,325.0,3203.0,481.0
Robin McKinley,3.68,eng,224.0,7805.0,409.0
Robin McKinley,4.23,eng,272.0,286.0,35.0
Robin McKinley-John Clapp,3.35,eng,64.0,1025.0,77.0
L.M. Montgomery-Barbara Caruso,4.24,en-US,9.0,64.0,17.0
L.M. Montgomery,3.81,eng,403.0,2958.0,107.0
L.M. Montgomery-Clare Sieffert,4.22,eng,315.0,79.0,12.0
Vladimir Nabokov,4.3,eng,685.0,5766.0,177.0
Vladimir Nabokov-Michael Scammell-Dmitri Nabokov,4.0,eng,406.0,2234.0,104.0
Vladimir Nabokov-Fredson Bowers-John Updike,4.33,eng,385.0,1568.0,81.0
Vladimir Nabokov-Brian Boyd,4.38,eng,734.0,111.0,9.0
Vladimir Nabokov,3.96,eng,292.0,8233.0,442.0
Vladimir Nabokov-Michael Scammell,3.95,eng,256.0,6967.0,259.0
Vladimir Nabokov-Dmitri Nabokov,3.81,eng,275.0,2801.0,136.0
Barbara Taylor Bradford,3.61,en-US,484.0,1241.0,100.0
Mark Waid-Alfred Gough-Miles Millar-Dave McCaig-Gerry Alanguilan-Leinil Francis Yu,4.13,eng,287.0,9912.0,388.0
Jeanne Treat-Jane Starr Weils,3.63,eng,429.0,128.0,26.0
Richard A. Knaak,3.74,eng,326.0,1186.0,65.0
Joseph Amiel,3.86,eng,407.0,14.0,2.0
Joseph Amiel,3.59,eng,583.0,10.0,533.6321277526615
William   Anderson-Laura Ingalls Wilder,4.3,eng,80.0,713.0,48.0
Laura Ingalls Wilder-Stephen W. Hines,3.95,eng,113.0,100.0,10.0
Laura Ingalls Wilder-Stephen W. Hines,3.84,eng,116.0,87.0,9.0
Laura Ingalls Wilder,4.14,eng,352.0,667.0,50.0
William   Anderson,4.2,eng,256.0,4007.0,91.0
Laura Ingalls Wilder-Roger Lea MacBride-Margot Patterson Doss,3.84,eng,124.0,3837.0,115.0
Laura Ingalls Wilder-William   Anderson,4.08,eng,160.0,226.0,18.0
Laura Ingalls Wilder-Stephen W. Hines,3.89,eng,128.0,38.0,2.0
Tim Freke-Peter Gandy,3.95,en-US,276.0,334.0,30.0
Jean-Luc Marion-Stephen E. Lewis,4.04,eng,248.0,72.0,11.0
Hans Jonas-Lawrence Vogel-Eleonore Jonas,4.23,eng,304.0,89.0,9.0
Melissa Wiley-Renée Graef,4.14,eng,321.0,1438.0,39.0
Donald Zochert,4.11,en-GB,241.0,5514.0,121.0
Laura Ingalls Wilder-Renée Graef,4.28,eng,32.0,1487.0,55.0
Laura Ingalls Wilder-Renée Graef-Jody Wheeler,4.13,eng,32.0,400.0,23.0
Laura Ingalls Wilder-Renée Graef,4.18,eng,40.0,847.0,30.0
Cynthia Rylant-Jim LaMarche,4.04,eng,176.0,4631.0,84.0
Laura Ingalls Wilder-Richard  Hull,3.97,eng,39.0,135.0,17.0
